date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:16	3970/3970	---M--	200	added ('OK')	image/svg+xml	etag:%22f82-64726186460e4%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/icons/h1-class-icon-1.svg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/icons/h1-class-icon-1.svg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index.html)
14:11:16	39514/39514	---M--	200	added ('OK')	image/jpeg	etag:%229a5a-6472616c21b50%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/class/class-1-2.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/class/class-1-2.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index.html)
14:11:17	25278/25278	---M--	200	added ('OK')	image/jpeg	etag:%2262be-6472616c08511%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/class/class-1-1.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/class/class-1-1.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index.html)
14:11:17	295815/295815	---M--	200	added ('OK')	image/png	etag:%2248387-6472616c5c4cf%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/class/class-bg.png	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/class/class-bg.png	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index.html)
14:11:17	245283/245283	---M--	200	added ('OK')	image/png	etag:%223be23-6472616a701da%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/bg/program-bg.png	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/bg/program-bg.png	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index.html)
14:11:17	4012/4012	---M--	200	added ('OK')	image/svg+xml	etag:%22fac-64726186606c3%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/icons/h1-class-icon-2.svg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/icons/h1-class-icon-2.svg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index.html)
14:11:17	32032/32032	---M--	200	added ('OK')	image/jpeg	etag:%227d20-6472616c259d0%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/class/class-1-3.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/class/class-1-3.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index.html)
14:11:17	2040/2040	---M--	200	added ('OK')	image/svg+xml	etag:%227f8-64726186606c3%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/icons/h1-class-icon-3.svg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/icons/h1-class-icon-3.svg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index.html)
14:11:18	27709/27709	---M--	200	added ('OK')	image/jpeg	etag:%226c3d-6472616c3a1f0%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/class/class-1-4.jpg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/class/class-1-4.jpg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index.html)
14:11:18	5325/5325	---M--	200	added ('OK')	image/svg+xml	etag:%2214cd-647261867bc43%22	https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/icons/h1-class-icon-4.svg	C:/Users/Lenovo/OneDrive/Desktop/prince%20new/Jiwan Ram Basherhar Lal Sr. Sec. Public School/html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/assets/img/icons/h1-class-icon-4.svg	(from https://html.vecurosoft.com/Jiwan Ram Basherhar Lal Sr. Sec. Public School/demo/index.html)
